x,y,density,u-vel,v-vel,pressure,temperature,a,e
1.1625,0.0567779,0.00193843,846.568,226.615,215.507,387.373,394.52,277940
1.1775,0.0607369,0.0019392,846.501,226.675,215.615,387.412,394.54,277968
1.1925,0.0646958,0.00193976,846.462,226.706,215.688,387.433,394.551,277983
1.2075,0.0686548,0.00194019,846.438,226.724,215.743,387.445,394.557,277992
1.2225,0.0726137,0.00194055,846.422,226.735,215.786,387.451,394.56,277996
1.2375,0.0765727,0.00194087,846.412,226.743,215.823,387.453,394.561,277998
1.2525,0.0805316,0.00194115,846.406,226.75,215.854,387.452,394.561,277997
1.2675,0.0844906,0.00194141,846.403,226.755,215.881,387.45,394.56,277995
1.2825,0.0884495,0.00194165,846.401,226.76,215.905,387.445,394.557,277992
1.2975,0.0924085,0.00194186,846.402,226.764,215.926,387.439,394.554,277988
1.3125,0.0963674,0.00194207,846.404,226.769,215.944,387.432,394.551,277983
1.3275,0.100326,0.00194226,846.407,226.773,215.961,387.424,394.546,277977
1.3425,0.104285,0.00194244,846.411,226.777,215.976,387.415,394.542,277970
1.3575,0.108244,0.00194261,846.417,226.78,215.989,387.405,394.537,277963
1.3725,0.112203,0.00194277,846.423,226.784,216.001,387.394,394.531,277955
1.3875,0.116162,0.00194292,846.43,226.788,216.012,387.383,394.526,277947
1.4025,0.120121,0.00194307,846.438,226.792,216.021,387.371,394.52,277939
1.4175,0.12408,0.0019432,846.446,226.795,216.03,387.359,394.513,277930
1.4325,0.128039,0.00194334,846.455,226.799,216.038,387.346,394.507,277921
1.4475,0.131998,0.00194347,846.464,226.803,216.044,387.333,394.5,277911
1.4625,0.135957,0.00194359,846.474,226.806,216.051,387.319,394.493,277901
1.4775,0.139916,0.00194371,846.484,226.81,216.056,387.305,394.486,277891
1.4925,0.143875,0.00194383,846.495,226.814,216.061,387.291,394.479,277881
1.5075,0.147834,0.00194394,846.506,226.817,216.066,387.276,394.471,277871
1.5225,0.151793,0.00194405,846.517,226.821,216.069,387.261,394.464,277860
1.5375,0.155752,0.00194415,846.529,226.825,216.073,387.246,394.456,277849
1.5525,0.159711,0.00194426,846.54,226.829,216.076,387.231,394.448,277838
1.5675,0.16367,0.00194436,846.552,226.833,216.078,387.216,394.44,277827
1.5825,0.167628,0.00194446,846.565,226.836,216.08,387.2,394.432,277816
1.5975,0.171587,0.00194455,846.577,226.84,216.082,387.184,394.424,277804
1.6125,0.175546,0.00194465,846.59,226.844,216.084,387.168,394.416,277793
1.6275,0.179505,0.00194474,846.603,226.848,216.085,387.152,394.408,277781
1.6425,0.183464,0.00194483,846.616,226.851,216.086,387.135,394.4,277770
1.6575,0.187423,0.00194492,846.629,226.855,216.087,387.119,394.391,277758
1.6725,0.191382,0.00194501,846.642,226.859,216.088,387.103,394.383,277746
1.6875,0.195341,0.0019451,846.655,226.862,216.089,387.086,394.375,277735
1.7025,0.1993,0.00194519,846.668,226.866,216.089,387.07,394.366,277723
1.7175,0.203259,0.00194528,846.681,226.869,216.09,387.054,394.358,277711
1.7325,0.207218,0.00194537,846.694,226.873,216.091,387.037,394.349,277699
1.7475,0.211177,0.00194545,846.708,226.877,216.091,387.02,394.341,277687
1.7625,0.215136,0.00194554,846.721,226.881,216.091,387.004,394.332,277675
1.7775,0.219095,0.00194562,846.735,226.884,216.091,386.987,394.324,277663
