x,y,density,u-vel,v-vel,pressure,temperature,a,e
1.4175,0.117726,-0.0295981,95661.4,-324703,6.71828e+08,-7.90883e+07,nan,-5.67459e+10
1.4325,0.121725,-0.0289488,95794.3,-325418,6.59923e+08,-7.94292e+07,nan,-5.69905e+10
1.4475,0.125724,-0.0283296,95928.3,-326127,6.48567e+08,-7.97686e+07,nan,-5.7234e+10
1.4625,0.129723,-0.0277385,96063.3,-326830,6.37723e+08,-8.01064e+07,nan,-5.74763e+10
1.4775,0.133722,-0.0271737,96199,-327528,6.27357e+08,-8.04423e+07,nan,-5.77174e+10
1.4925,0.137721,-0.0266335,96335.1,-328220,6.17439e+08,-8.07764e+07,nan,-5.79571e+10
1.5075,0.14172,-0.0261164,96471.7,-328906,6.0794e+08,-8.11084e+07,nan,-5.81953e+10
1.5225,0.14572,-0.025621,96608.3,-329585,5.98834e+08,-8.14382e+07,nan,-5.84319e+10
1.5375,0.149719,-0.0251461,96745,-330258,5.90098e+08,-8.17658e+07,nan,-5.86669e+10
1.5525,0.153718,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5675,0.157717,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5825,0.161716,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5975,0.165715,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6125,0.169714,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6275,0.173714,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6425,0.177713,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6575,0.181712,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6725,0.185711,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6875,0.18971,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7025,0.193709,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7175,0.197708,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7325,0.201708,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7475,0.205707,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7625,0.209706,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7775,0.213705,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7925,0.217704,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8075,0.221703,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8225,0.225702,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8375,0.229702,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8525,0.233701,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8675,0.2377,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8825,0.241699,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8975,0.245698,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9125,0.249697,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9275,0.253696,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9425,0.257695,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9575,0.261695,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9725,0.265694,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9875,0.269693,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0025,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0175,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0325,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0475,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0625,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0775,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.0925,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.1075,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.1225,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.1375,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.1525,0.271692,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
2.1675,0.271692,0.000977525,6595.98,1.97794e-06,75.95,270.719,329.81,194241
2.1825,0.271692,0.000977525,6595.98,1.30554e-07,75.95,270.719,329.81,194241
2.1975,0.271692,0.000977525,6595.98,7.76793e-09,75.95,270.719,329.81,194241
2.2125,0.271692,0.000977525,6595.98,4.11757e-10,75.95,270.719,329.81,194241
2.2275,0.271692,0.000977525,6595.98,8.04578e-13,75.95,270.719,329.81,194241
2.2425,0.271692,0.000977525,6595.98,-2.74876e-14,75.95,270.719,329.81,194241
2.2575,0.271692,0.000977525,6595.98,-3.52526e-14,75.95,270.719,329.81,194241
2.2725,0.271692,0.000977525,6595.98,-5.40396e-15,75.95,270.719,329.81,194241
2.2875,0.271692,0.000977525,6595.98,-6.34709e-16,75.95,270.719,329.81,194241
2.3025,0.271692,0.000977525,6595.98,-6.6663e-17,75.95,270.719,329.81,194241
2.3175,0.271692,0.000977525,6595.98,-6.58224e-18,75.95,270.719,329.81,194241
2.3325,0.271692,0.000977525,6595.98,-6.25616e-19,75.95,270.719,329.81,194241
2.3475,0.271692,0.000977525,6595.98,-5.738e-20,75.95,270.719,329.81,194241
2.3625,0.271692,0.000977525,6595.98,-5.21626e-21,75.95,270.719,329.81,194241
2.3775,0.271692,0.000977525,6595.98,-2.14029e-23,75.95,270.719,329.81,194241
2.3925,0.271692,0.000977525,6595.98,-1.90099e-24,75.95,270.719,329.81,194241
2.4075,0.271692,0.000977525,6595.98,-1.66983e-25,75.95,270.719,329.81,194241
2.4225,0.271692,0.000977525,6595.98,-1.45494e-26,75.95,270.719,329.81,194241
2.4375,0.271692,0.000977525,6595.98,-1.25957e-27,75.95,270.719,329.81,194241
2.4525,0.271692,0.000977525,6595.98,-1.07529e-28,75.95,270.719,329.81,194241
2.4675,0.271692,0.000977525,6595.98,-8.79294e-30,75.95,270.719,329.81,194241
2.4825,0.271692,0.000977525,6595.98,-9.29332e-32,75.95,270.719,329.81,194241
2.4975,0.271692,0.000977525,6595.98,-8.00786e-33,75.95,270.719,329.81,194241
2.5125,0.271692,0.000977525,6595.98,-6.75954e-34,75.95,270.719,329.81,194241
2.5275,0.271692,0.000977525,6595.98,-5.68998e-35,75.95,270.719,329.81,194241
2.5425,0.271692,0.000977525,6595.98,-4.78617e-36,75.95,270.719,329.81,194241
2.5575,0.271692,0.000977525,6595.98,-3.94954e-37,75.95,270.719,329.81,194241
2.5725,0.271692,0.000977525,6595.98,-3.51496e-38,75.95,270.719,329.81,194241
2.5875,0.271692,0.000977525,6595.98,-1.62836e-40,75.95,270.719,329.81,194241
2.6025,0.271692,0.000977525,6595.98,-1.38501e-41,75.95,270.719,329.81,194241
2.6175,0.271692,0.000977525,6595.98,-1.14985e-42,75.95,270.719,329.81,194241
2.6325,0.271692,0.000977525,6595.98,-9.5378e-44,75.95,270.719,329.81,194241
2.6475,0.271692,0.000977525,6595.98,-7.90744e-45,75.95,270.719,329.81,194241
2.6625,0.271692,0.000977525,6595.98,-6.43222e-46,75.95,270.719,329.81,194241
2.6775,0.271692,0.000977525,6595.98,-5.46083e-47,75.95,270.719,329.81,194241
2.6925,0.271692,0.000977525,6595.98,-1.25849e-50,75.95,270.719,329.81,194241
2.7075,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7225,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7375,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7525,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7675,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7825,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.7975,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8125,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8275,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8425,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8575,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8725,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.8875,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9025,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9175,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9325,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9475,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9625,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9775,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
2.9925,0.271692,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0075,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0225,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0375,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0525,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0675,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0825,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0975,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1125,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1275,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1425,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1575,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1725,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1875,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2025,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2175,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2325,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2475,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2625,0.01125,0.000977525,6595.98,0,75.95,270.719,329.81,194241
