T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, e-
1832.11, 0.743026, 0.225821, 0.0046694, 2.1797e-12, 7.99868e-05, 0.0264039, 3.13733e-49, 3.68866e-183, 1.82395e-17, 0
1852.35, 0.742879, 0.225638, 0.0049836, 2.71147e-11, 9.54713e-05, 0.0264039, 3.81593e-47, 7.49581e-173, 5.27998e-17, 0
1872.49, 0.742727, 0.225446, 0.00530958, 1.03472e-10, 0.000113413, 0.0264038, 2.97805e-48, 4.9439e-171, 4.73524e-17, 0
1892.52, 0.74257, 0.225245, 0.0056472, 1.42584e-10, 0.000134108, 0.0264038, 3.11645e-49, 3.67116e-169, 4.6069e-17, 0
1912.44, 0.742407, 0.225035, 0.00599633, 1.94826e-10, 0.000157872, 0.0264038, 3.7024e-50, 2.61195e-167, 4.32516e-17, 0
1932.24, 0.742238, 0.224816, 0.00635679, 2.64039e-10, 0.000185045, 0.0264038, 1.00124e-47, 1.80429e-157, 1.11591e-16, 0
1951.93, 0.742065, 0.224587, 0.00672838, 3.55005e-10, 0.000215984, 0.0264038, 1.67729e-48, 1.07804e-155, 1.08199e-16, 0
1971.49, 0.741886, 0.224348, 0.00711085, 4.73635e-10, 0.000251067, 0.0264038, 3.47972e-49, 7.32822e-154, 1.08695e-16, 0
1990.93, 0.741703, 0.224099, 0.00750393, 6.27176e-10, 0.000290692, 0.0264038, 7.9226e-50, 4.67388e-152, 1.12357e-16, 0
2010.23, 0.741515, 0.223839, 0.00790731, 8.24439e-10, 0.000335269, 0.0264038, 4.71693e-47, 1.48701e-142, 3.32336e-16, 0
2029.4, 0.741322, 0.223569, 0.00832066, 1.07606e-09, 0.000385228, 0.0264038, 1.5352e-47, 8.66155e-141, 3.67175e-16, 0
2048.42, 0.741124, 0.223287, 0.00874361, 1.39476e-09, 0.000441009, 0.0264038, 6.42283e-48, 5.66154e-139, 4.10652e-16, 0
2067.3, 0.740922, 0.222995, 0.00917577, 1.79566e-09, 0.000503061, 0.0264038, 2.79105e-48, 3.3652e-137, 4.57462e-16, 0
2086.02, 0.740717, 0.222691, 0.00961671, 2.2966e-09, 0.000571843, 0.0264038, 1.3399e-48, 1.93998e-135, 5.02452e-16, 0
2104.59, 0.740507, 0.222375, 0.010066, 2.91846e-09, 0.000647817, 0.0264038, 7.07789e-49, 1.08335e-133, 5.45599e-16, 7.37242e-318
2122.98, 0.740293, 0.222048, 0.0105231, 3.68548e-09, 0.000731446, 0.0264038, 8.60754e-46, 8.54507e-125, 1.60952e-15, 2.28708e-298
2141.21, 0.740077, 0.221709, 0.0109876, 4.62567e-09, 0.000823192, 0.0264038, 4.87179e-46, 3.37219e-123, 1.7455e-15, 2.09441e-292
2159.27, 0.739857, 0.221357, 0.011459, 5.77107e-09, 0.000923512, 0.0264038, 2.82514e-46, 1.21542e-121, 1.89143e-15, 1.35124e-286
2177.14, 0.739634, 0.220993, 0.0119367, 7.15821e-09, 0.00103285, 0.0264038, 1.75438e-46, 4.19259e-120, 2.04619e-15, 5.91942e-281
2194.84, 0.739408, 0.220616, 0.0124202, 8.82832e-09, 0.00115165, 0.0264038, 1.1579e-46, 1.37722e-118, 2.21048e-15, 1.78621e-275
2212.34, 0.73918, 0.220227, 0.0129089, 1.08277e-08, 0.00128033, 0.0264038, 7.8e-47, 4.14798e-117, 2.38598e-15, 3.89331e-270
2229.65, 0.738949, 0.219825, 0.0134024, 1.32081e-08, 0.0014193, 0.0264038, 1.31821e-43, 7.57847e-109, 6.99401e-15, 9.10191e-254
2246.76, 0.738717, 0.21941, 0.0139, 1.60269e-08, 0.00156893, 0.0264038, 9.35452e-44, 1.69299e-107, 7.53419e-15, 5.52064e-249
2263.68, 0.738483, 0.218982, 0.0144012, 1.93471e-08, 0.00172959, 0.0264038, 6.75499e-44, 3.4977e-106, 8.10694e-15, 3.35889e-244
2280.39, 0.738248, 0.218541, 0.0149055, 2.3238e-08, 0.00190161, 0.0264038, 4.95971e-44, 6.6943e-105, 8.7128e-15, 1.80879e-239
2296.89, 0.738011, 0.218088, 0.0154122, 2.77752e-08, 0.00208531, 0.0264038, 3.69986e-44, 1.189e-103, 9.35226e-15, 7.33475e-235
2313.19, 0.737774, 0.217621, 0.015921, 3.30402e-08, 0.00228095, 0.0264038, 2.80218e-44, 1.96321e-102, 1.00257e-14, 2.25543e-230
2329.27, 0.737535, 0.217141, 0.0164313, 3.91214e-08, 0.00248879, 0.0264038, 2.15318e-44, 3.01897e-101, 1.07336e-14, 5.29711e-226
2345.15, 0.737297, 0.216648, 0.0169425, 4.61131e-08, 0.00270906, 0.0264038, 4.50416e-41, 1.23043e-93, 3.11952e-14, 2.09471e-212
2360.81, 0.737058, 0.216142, 0.0174542, 5.41164e-08, 0.00294194, 0.0264038, 3.59413e-41, 1.48066e-92, 3.33083e-14, 1.70924e-208
2376.26, 0.736819, 0.215624, 0.0179659, 6.32385e-08, 0.00318758, 0.0264038, 2.90296e-41, 1.67307e-91, 3.55168e-14, 1.10321e-204
2391.5, 0.73658, 0.215093, 0.0184771, 7.35928e-08, 0.00344612, 0.0264038, 2.45186e-41, 1.83822e-90, 3.78209e-14, 5.48465e-201
2406.52, 0.736342, 0.214549, 0.0189875, 8.52989e-08, 0.00371765, 0.0264038, 2.15409e-41, 1.9579e-89, 4.02208e-14, 2.12359e-197
2421.33, 0.736104, 0.213993, 0.0194967, 9.84823e-08, 0.00400225, 0.0264038, 1.90984e-41, 1.96572e-88, 4.27167e-14, 6.63878e-194
2435.93, 0.735867, 0.213425, 0.0200042, 1.13274e-07, 0.00429994, 0.0264038, 1.70799e-41, 1.86353e-87, 4.53087e-14, 1.6862e-190
2450.32, 0.735631, 0.212844, 0.0205097, 1.29811e-07, 0.00461076, 0.0264038, 1.54002e-41, 1.67097e-86, 4.79964e-14, 3.50095e-187
2464.5, 0.735396, 0.212252, 0.0210128, 1.48235e-07, 0.00493467, 0.0264038, 1.39936e-41, 1.41958e-85, 5.07799e-14, 5.97873e-184
2478.48, 0.735163, 0.211648, 0.0215133, 1.68693e-07, 0.00527166, 0.0264038, 3.74436e-38, 1.348e-78, 1.45859e-13, 2.3424e-173
2492.25, 0.73493, 0.211033, 0.0220109, 1.91336e-07, 0.00562165, 0.0264038, 3.47829e-38, 9.48056e-78, 1.53942e-13, 1.80214e-170
2505.82, 0.7347, 0.210407, 0.0225052, 2.16322e-07, 0.00598458, 0.0264038, 3.25144e-38, 6.36173e-77, 1.62282e-13, 1.1733e-167
